outlet,n_articles,mean_distance,ci_low,ci_high,em_consensus_agreement
news.wttw.com,7,0.756723,0.726199,0.785097,0.500000
al.com,2,0.757406,0.746900,0.767912,0.500000
aa.com.tr,3,0.758533,0.256702,0.786655,0.500000
democracydocket.com,9,0.758677,0.720955,0.795648,0.512474
bostonglobe.com,8,0.759506,0.733606,0.785718,0.500000
post-gazette.com,2,0.760034,0.749670,0.770398,0.500000
democracynow.org,4,0.760795,0.714694,0.804973,0.500000
scrippsnews.com,6,0.761431,0.723706,0.797401,0.500000
staradvertiser.com,2,0.761558,0.218629,0.794462,0.500000
foxbusiness.com,7,0.761740,0.726545,0.798996,0.500000
miamiherald.com,3,0.762874,0.758834,0.770908,0.500000
keloland.com,1,0.763636,0.763636,0.763636,0.500000
wbur.org,5,0.763657,0.755402,0.772864,0.500000
texastribune.org,3,0.763834,0.697834,0.798552,0.500000
sandiegouniontribune.com,1,0.764048,0.764048,0.764048,0.500000
foxbaltimore.com,8,0.764573,0.713573,0.815500,0.531097
cato.org,2,0.764833,0.746158,0.783508,0.500000
timescall.com,2,0.764863,0.757392,0.772334,0.500000
nebraskapublicmedia.org,1,0.765671,0.765671,0.765671,0.500000
statnews.com,1,0.765733,0.765733,0.765733,0.500000
wpr.org,4,0.766051,0.732616,0.799678,0.500000
scmp.com,4,0.766159,0.708053,0.865472,0.500000
rockdalenewtoncitizen.com,5,0.766160,0.232529,0.824753,0.500000
kcra.com,12,0.767993,0.732807,0.805191,0.500000
wral.com,4,0.768102,0.719389,0.792767,0.500000
abc7.com,8,0.768962,0.741160,0.792387,0.500000
dailynews.com,5,0.769974,0.736735,0.805852,0.500000
foreignpolicy.com,1,0.770013,0.770013,0.770013,0.500000
ohiocapitaljournal.com,4,0.770979,0.749458,0.792393,0.500000
19thnews.org,4,0.771582,0.726604,0.802192,0.500000
chicagotribune.com,5,0.771629,0.730557,0.816607,0.500000
6abc.com,4,0.771650,0.719674,0.810943,0.500000
abc7news.com,4,0.771655,0.726792,0.802323,0.500000
ksl.com,2,0.771734,0.270353,0.778065,0.500000
law.com,1,0.771835,0.771835,0.771835,0.500000
wtop.com,4,0.772062,0.712513,0.794604,0.500000
dailykos.com,1,0.772081,0.772081,0.772081,0.500000
